"ï»¿wijk";"year_1999";"year_2000";"year_2001";"year_2002";"year_2003";"year_2004";"year_2005";"year_2006";"year_2007";"year_2008";"year_2009";"year_2010"
"Binnenstad";"15170";"15194";"15473";"15648";"15964";"16238";"16412";"16553";"16642";"17083";"17233";"17460"
"Bloemekenswijk";"7733";"7855";"7945";"8213";"8248";"8364";"8446";"8528";"8526";"8746";"8786";"8848"
"Brugse Poort - Rooigem";"14993";"14865";"15108";"15279";"15288";"15373";"15723";"16072";"16355";"16721";"17138";"17652"
"Dampoort";"9498";"9497";"9513";"9833";"10035";"9961";"10762";"10922";"11323";"11411";"11659";"12030"
"Drongen";"12732";"12903";"12893";"12917";"12921";"12896";"12937";"12959";"12903";"12905";"12970";"12946"
"Elisabethbegijnhof - Papegaai";"6096";"6097";"6305";"6422";"6605";"6740";"6651";"6698";"6770";"6784";"6973";"7086"
"Gentbrugge";"7196";"7204";"7129";"7254";"7236";"7265";"7315";"7317";"7383";"7344";"7379";"7407"
"Kanaaldorpen en -zone";"3658";"3604";"3612";"3373";"3426";"3443";"2432";"2461";"2436";"2444";"2462";"2438"
"Ledeberg";"8156";"8142";"8046";"8235";"8369";"8410";"8557";"8585";"8717";"8922";"9127";"9361"
"Macharius - Heirnis";"5355";"5346";"5507";"5684";"5809";"5974";"6069";"6240";"6392";"6544";"6609";"6695"
"Mariakerke";"12686";"12699";"12601";"12493";"12485";"12631";"12805";"12992";"13032";"13010";"13191";"13297"
"Moscou - Vogelhoek";"4852";"4802";"4839";"4831";"4737";"4747";"4868";"4875";"4825";"4888";"4944";"4993"
"Muide - Meulestede - Afrikalaan";"4862";"4813";"4870";"4980";"4921";"5058";"5441";"5553";"5654";"5729";"5854";"6010"
"Nieuw Gent - UZ";"7387";"7586";"7719";"7970";"8093";"7957";"7713";"7807";"7897";"7991";"8019";"8137"
"Oostakker";"11324";"11433";"11635";"11708";"11848";"11991";"12229";"12339";"12433";"12567";"12795";"12983"
"Oud Gentbrugge";"7606";"7629";"7526";"7620";"7629";"7666";"7578";"7766";"7875";"8087";"8255";"8431"
"Rabot - Blaisantvest";"7293";"7127";"7156";"7304";"7367";"7405";"7543";"7504";"7736";"7939";"8065";"8254"
"Sint Amandsberg";"16305";"16564";"16613";"16854";"16999";"17236";"17368";"17578";"17664";"17783";"17996";"18108"
"Sint Denijs Westrem";"6050";"6022";"5996";"5960";"5930";"5949";"5874";"5877";"5873";"5910";"5933";"5975"
"Sluizeken - Tolhuis - Ham";"9203";"9228";"9405";"9506";"9433";"9555";"9750";"9917";"10114";"10383";"10685";"10952"
"Stationsbuurt Noord";"11245";"11111";"11174";"11210";"11227";"11235";"11482";"11525";"11468";"11493";"11484";"11538"
"Stationsbuurt Zuid";"7430";"7437";"7399";"7432";"7351";"7454";"7584";"7499";"7503";"7504";"7622";"7745"
"Watersportbaan - Ekkergem";"6838";"6891";"6874";"6880";"6874";"6878";"6805";"6899";"7012";"7035";"7058";"7147"
"Wondelgem";"13290";"13330";"13266";"13229";"13247";"13383";"13506";"13443";"13562";"13709";"13843";"14126"
"Zwijnaarde";"6936";"6915";"6907";"6930";"6885";"6846";"6921";"6943";"6763";"6970";"7064";"7100"
